,Number,Initial Impact Location_x,Principal Damage Location_x,Extent of Damage_x,Vehicle Type_x,Vehicle Use_x,V_Age_x,Initial Impact Location_y,Principal Damage Location_y,Extent of Damage_y,Vehicle Type_y,Vehicle Use_y,V_Age_y
45070,20180421A310-2018-01358A       ,10,10,02,01,01,43.0,10,10,02,01,01,43.0
45071,20180421A310-2018-01387A       ,06,06,02,01,01,2.0,06,06,02,01,01,2.0
45072,20180421D020-2018-01009A       ,06,06,02,01,01,5.0,06,06,02,01,01,5.0
45073,2018042218-24971               ,07,07,02,01,01,3.0,07,07,02,01,01,3.0
45074,201804222017-17975             ,01,01,02,01,01,12.0,01,01,03,01,01,12.0
45075,201804222018-00368             ,09,08,02,01,01,18.0,09,08,04,01,01,18.0
45076,201804222018-00578             ,03,03,02,05,02,11.0,03,03,02,05,02,11.0
45077,201804222018-00604             ,12,12,02,04,01,12.0,12,12,02,04,01,12.0
45078,201804222018-01096             ,06,06,02,04,01,9.0,06,06,02,04,01,9.0
45079,201804222018-01377             ,11,11,02,01,01,9.0,11,11,04,01,01,9.0
45080,201804222018-03004             ,09,12,02,01,01,10.0,09,12,04,01,01,10.0
45081,201804222018-04382             ,11,11,02,04,01,15.0,11,11,03,04,01,15.0
45082,201804222018-05601             ,11,11,02,01,01,15.0,11,11,03,01,01,15.0
45083,201804222018-06218             ,09,09,02,01,01,1.0,09,09,03,01,01,1.0
45084,201804222018-06267             ,06,06,02,01,01,4.0,06,06,03,01,01,4.0
45085,201804222018-06872             ,06,06,02,01,01,11.0,06,06,03,01,01,11.0
45086,201804222018-06884             ,09,09,02,01,01,7.0,09,09,02,01,01,7.0
45087,201804222018-07028             ,05,05,02,01,01,15.0,05,05,03,01,01,15.0
45088,201804222018-07060             ,09,09,02,01,01,3.0,09,09,04,01,01,3.0
45089,201804222018-07352             ,12,12,02,04,01,4.0,12,12,03,04,01,4.0
45090,201804222018-07373             ,06,06,02,01,01,2.0,06,06,03,01,01,2.0
45091,201804222018-07618             ,06,06,02,,01,15.0,06,06,02,,01,15.0
45092,201804222018-09643             ,02,02,02,01,01,9.0,02,02,03,01,01,9.0
45093,201804222018-10349             ,04,04,02,01,,10.0,04,04,02,01,,10.0
45094,201804222018-10881             ,02,02,02,01,01,11.0,02,02,04,01,01,11.0
45095,201804222018-12228             ,07,07,02,01,,1.0,07,07,04,01,,1.0
45096,201804222018-12434             ,08,08,02,01,01,10.0,08,08,03,01,01,10.0
45097,201804222018-14499             ,12,12,02,05,01,31.0,12,12,03,05,01,31.0
45098,201804222018-15467             ,11,11,02,01,01,9.0,11,11,04,01,01,9.0
45099,201804222018-16106             ,01,01,02,01,01,11.0,01,01,02,01,01,11.0
45100,201804222018-16600             ,01,01,02,04,01,5.0,01,01,02,04,01,5.0
45101,201804222018-17431             ,11,,02,30,02,0.5,11,,02,30,02,0.5
45102,201804222018-18007             ,12,12,02,01,01,6.0,12,12,02,01,01,6.0
45103,201804222018-18619             ,01,01,02,01,01,11.0,01,01,04,01,01,11.0
45104,201804232018-000241            ,04,04,02,05,01,16.0,04,04,03,05,01,16.0
45105,201804232018-000421            ,07,07,02,05,01,7.0,07,07,03,05,01,7.0
45106,201804232018-000767            ,07,07,02,01,01,8.0,07,07,03,01,01,8.0
45107,201804232018-001950            ,09,09,02,01,01,4.0,09,09,03,01,01,4.0
45108,201804232018-002870            ,10,10,02,01,01,4.0,10,10,03,01,01,4.0
45109,201804232018-003609            ,03,03,02,01,01,15.0,03,03,02,01,01,15.0
45110,201804232018-004016            ,07,07,02,01,01,3.0,07,07,03,01,01,3.0
45111,201804232018-006071            ,06,06,02,01,01,10.0,06,06,02,01,01,10.0
45112,201804232018-006123            ,11,10,02,01,01,4.0,11,10,02,01,01,4.0
45113,201804232018-006360            ,06,06,02,01,01,10.0,06,06,02,01,01,10.0
45114,201804232018-006442            ,06,06,02,01,03,1.0,06,06,01,01,03,1.0
45115,201804232018-006691            ,07,09,02,01,01,2.0,07,09,02,01,01,2.0
45116,201804232018-006792            ,03,03,02,04,01,0.5,03,03,02,04,01,0.5
45117,201804232018-007158            ,06,06,02,01,01,3.0,06,06,02,01,01,3.0
45118,201804232018-007204            ,05,05,02,05,01,3.0,05,05,02,05,01,3.0
45119,201804232018-007240            ,04,04,02,01,01,27.0,04,04,03,01,01,27.0
45120,201804232018-007579            ,06,06,02,01,00,7.0,06,06,02,01,00,7.0
45121,20180424180003485              ,07,07,02,01,01,1.0,07,07,03,01,01,1.0
45122,20180424180003882              ,07,08,02,01,01,4.0,07,08,04,01,01,4.0
45123,20180424180004162              ,10,10,02,01,01,12.0,10,10,02,01,01,12.0
45124,20180424180004346              ,11,11,02,01,01,16.0,11,11,02,01,01,16.0
45125,20180424180004853              ,11,11,02,01,01,8.0,11,11,03,01,01,8.0
45126,20180424180006007              ,12,01,02,04,01,10.0,12,01,02,04,01,10.0
45127,20180424180007849              ,09,09,02,04,01,7.0,09,09,02,04,01,7.0
45128,20180424180008740              ,10,10,02,04,01,7.0,10,10,03,04,01,7.0
45129,201804252018-03080             ,10,10,02,01,01,11.0,10,10,02,01,01,11.0
45130,201804252018-03135             ,02,02,02,01,01,20.0,02,02,03,01,01,20.0
45131,201804252018-05082             ,06,06,02,01,01,9.0,06,06,02,01,01,9.0
45132,201804252018001198             ,07,09,02,01,01,7.0,07,09,03,01,01,7.0
45133,20180425A310-2018-02813A       ,06,06,02,24,02,25.0,06,06,03,24,02,25.0
45134,20180427180000033              ,09,09,02,01,01,16.0,09,09,02,01,01,16.0
45135,20180427180000149              ,06,07,02,02,01,3.0,06,07,02,02,01,3.0
45136,20180427180000162              ,03,03,02,05,01,13.0,03,03,02,05,01,13.0
45137,20180427180000402              ,10,17,02,00,00,13.0,10,17,01,00,00,13.0
45138,20180427180000472              ,06,06,02,01,01,7.0,06,06,03,01,01,7.0
45139,20180427180001213              ,10,12,02,01,01,9.0,10,12,04,01,01,9.0
45140,20180427180001709              ,09,09,02,01,01,3.0,09,09,03,01,01,3.0
45141,20180427180002092              ,11,12,02,01,01,15.0,11,12,04,01,01,15.0
45142,20180427180003480              ,06,06,02,01,01,10.0,06,06,02,01,01,10.0
45143,20180427180004061              ,00,00,02,00,00,7.0,00,00,02,00,00,7.0
45144,20180427180004245              ,03,03,02,03,02,23.0,03,03,02,03,02,23.0
45145,20180427180005197              ,09,09,02,01,01,13.0,09,09,02,01,01,13.0
45146,20180427180005387              ,11,09,02,01,01,14.0,11,09,03,01,01,14.0
45147,20180427180005407              ,07,07,02,01,01,2.0,07,07,02,01,01,2.0
45148,20180427180005902              ,09,09,02,31,02,16.0,09,09,02,31,02,16.0
45149,20180427180005903              ,10,10,02,01,01,2.0,10,10,02,01,01,2.0
45150,20180427180007007              ,10,10,02,25,02,3.0,10,10,02,25,02,3.0
45151,20180427180007849              ,09,07,02,01,01,10.0,09,07,03,01,01,10.0
45152,20180427180008510              ,02,02,02,03,02,10.0,02,02,02,03,02,10.0
45153,20180427180008580              ,02,02,02,01,01,1.0,02,02,03,01,01,1.0
45154,20180427180009414              ,09,09,02,01,01,18.0,09,09,02,01,01,18.0
45155,20180427180009846              ,08,08,02,01,01,3.0,08,08,04,01,01,3.0
45156,20180427180010796              ,12,12,02,01,01,14.0,12,12,03,01,01,14.0
45157,20180427180011045              ,03,03,02,03,02,13.0,03,03,02,03,02,13.0
45158,20180427180012563              ,06,06,02,01,01,3.0,06,06,02,01,01,3.0
45159,20180427180012885              ,06,06,02,01,01,1.0,06,06,02,01,01,1.0
45160,20180427180014520              ,12,,02,04,01,6.0,12,,02,04,01,6.0
45161,20180427180014659              ,06,06,02,01,01,4.0,06,06,02,01,01,4.0
45162,20180427180015505              ,04,06,02,01,01,20.0,04,06,04,01,01,20.0
45163,20180427180015729              ,03,03,02,01,01,7.0,03,03,03,01,01,7.0
45164,20180427180015950              ,06,06,02,04,01,2.0,06,06,03,04,01,2.0
45165,20180427180016501              ,09,09,02,01,01,8.0,09,09,02,01,01,8.0
45166,20180427180016574              ,09,09,02,05,01,10.0,09,09,02,05,01,10.0
45167,20180427180018235              ,07,08,02,05,01,15.0,07,08,03,05,01,15.0
45168,20180427180018562              ,12,12,02,01,01,15.0,12,12,02,01,01,15.0
45169,20180427180018833              ,01,,02,05,01,20.0,01,,03,05,01,20.0
45170,20180427180019331              ,05,06,02,20,02,10.0,05,06,02,20,02,10.0
45171,20180427180019391              ,12,12,02,01,01,11.0,12,12,03,01,01,11.0
45172,20180427180019550              ,05,05,02,05,01,1.0,05,05,02,05,01,1.0
45173,20180427180019678              ,06,06,02,01,01,15.0,06,06,02,01,01,15.0
45174,20180427180019780              ,07,07,02,01,01,2.0,07,07,02,01,01,2.0
45175,20180427180020303              ,06,17,02,20,02,7.0,06,17,01,20,02,7.0
45176,20180427180022083              ,01,02,02,01,01,9.0,01,02,04,01,01,9.0
45177,20180427180023782              ,09,09,02,01,01,4.0,09,09,03,01,01,4.0
45178,20180427180024281              ,09,09,02,25,02,6.0,09,09,02,25,02,6.0
45179,20180427180024998              ,09,09,02,01,01,11.0,09,09,03,01,01,11.0
45180,20180427180026299              ,01,12,02,01,01,11.0,01,12,04,01,01,11.0
45181,20180427180026966              ,08,07,02,05,01,13.0,08,07,03,05,01,13.0
45182,20180427180027253              ,05,05,02,01,01,12.0,05,05,03,01,01,12.0
45183,20180427180027290              ,10,09,02,01,01,12.0,10,09,02,01,01,12.0
45184,20180427180027355              ,11,11,02,99,,0.5,11,11,03,99,,0.5
45185,20180427180027594              ,06,06,02,01,01,11.0,06,06,03,01,01,11.0
45186,20180427180028536              ,09,09,02,01,01,11.0,09,09,02,01,01,11.0
45187,20180427180028766              ,08,09,02,01,01,1.0,08,09,02,01,01,1.0
45188,20180427180028942              ,11,11,02,01,01,15.0,11,11,02,01,01,15.0
45189,20180427180029502              ,03,03,02,01,01,18.0,03,03,03,01,01,18.0
45190,20180427180032118              ,03,03,02,01,01,10.0,03,03,02,01,01,10.0
45191,20180427180032701              ,09,09,02,05,02,6.0,09,09,02,05,02,6.0
45192,20180427180033098              ,04,04,02,01,01,13.0,04,04,02,01,01,13.0
45193,20180427180033591              ,04,04,02,04,01,0.5,04,04,02,04,01,0.5
45194,20180427180033844              ,02,02,02,01,01,13.0,02,02,02,01,01,13.0
45195,20180427180033923              ,09,09,02,05,02,14.0,09,09,02,05,02,14.0
45196,20180427180034445              ,01,02,02,,,10.0,01,02,03,,,10.0
45197,20180427180034555              ,05,05,02,01,01,9.0,05,05,03,01,01,9.0
45198,20180427180035167              ,04,04,02,01,01,1.0,04,04,02,01,01,1.0
45199,20180427180036232              ,09,09,02,20,02,5.0,09,09,02,20,02,5.0
45200,20180427180036720              ,02,02,02,04,01,5.0,02,02,03,04,01,5.0
45201,20180427180036745              ,08,07,02,01,01,11.0,08,07,03,01,01,11.0
45202,20180427180037451              ,07,09,02,05,01,16.0,07,09,02,05,01,16.0
45203,20180427180039507              ,06,06,02,01,02,25.0,06,06,03,01,02,25.0
45204,20180427180041531              ,08,10,02,01,01,2.0,08,10,03,01,01,2.0
45205,20180427180042008              ,11,11,02,05,02,5.0,11,11,02,05,02,5.0
45206,20180427180043648              ,01,01,02,01,01,5.0,01,01,02,01,01,5.0
45207,20180427180044473              ,08,,02,01,01,9.0,08,,03,01,01,9.0
45208,20180427180046459              ,10,09,02,01,01,4.0,10,09,03,01,01,4.0
45209,20180427180047054              ,09,09,02,01,01,7.0,09,09,02,01,01,7.0
45210,20180427180048329              ,04,05,02,04,01,5.0,04,05,02,04,01,5.0
45211,20180427180049057              ,09,09,02,01,01,9.0,09,09,03,01,01,9.0
45212,20180427180050477              ,02,02,02,05,01,12.0,02,02,02,05,01,12.0
45213,20180427180050566              ,06,06,02,01,01,3.0,06,06,04,01,01,3.0
45214,20180427180053012              ,02,02,02,03,02,0.5,02,02,02,03,02,0.5
45215,20180427180053294              ,03,03,02,04,01,14.0,03,03,02,04,01,14.0
45216,20180427180053532              ,09,07,02,01,01,15.0,09,07,03,01,01,15.0
45217,20180427180053601              ,10,10,02,01,01,2.0,10,10,02,01,01,2.0
45218,20180427180056551              ,06,06,02,01,01,14.0,06,06,03,01,01,14.0
45219,20180427180056585              ,09,09,02,02,00,9.0,09,09,03,02,00,9.0
45220,20180427180056914              ,10,10,02,01,01,15.0,10,10,02,01,01,15.0
45221,20180427180057366              ,03,03,02,01,01,10.0,03,03,03,01,01,10.0
45222,20180427180057591              ,10,10,02,20,02,7.0,10,10,02,20,02,7.0
45223,20180427180057599              ,07,07,02,01,01,8.0,07,07,03,01,01,8.0
45224,20180427180059112              ,06,06,02,04,01,9.0,06,06,02,04,01,9.0
45225,20180427180060939              ,08,08,02,01,01,19.0,08,08,03,01,01,19.0
45226,20180427180062675              ,05,05,02,01,01,13.0,05,05,04,01,01,13.0
45227,20180427180064294              ,01,01,02,01,01,12.0,01,01,02,01,01,12.0
45228,20180427180067199              ,12,12,02,01,01,3.0,12,12,02,01,01,3.0
45229,20180427180068912              ,11,11,02,01,01,3.0,11,11,02,01,01,3.0
45230,20180427180069096              ,04,04,02,01,02,19.0,04,04,03,01,02,19.0
45231,20180427180069522              ,06,06,02,01,01,11.0,06,06,04,01,01,11.0
45232,20180427180070369              ,02,02,02,01,01,8.0,02,02,04,01,01,8.0
45233,20180427180072195              ,09,09,02,20,02,4.0,09,09,02,20,02,4.0
45234,20180427180072545              ,06,06,02,01,01,0.5,06,06,02,01,01,0.5
45235,20180427180074037              ,05,06,02,01,01,10.0,05,06,03,01,01,10.0
45236,20180427180074612              ,06,06,02,01,01,5.0,06,06,02,01,01,5.0
45237,20180427180074941              ,09,10,02,01,01,6.0,09,10,02,01,01,6.0
45238,20180427180077961              ,09,09,02,01,01,0.5,09,09,02,01,01,0.5
45239,20180427180078015              ,04,04,02,01,01,21.0,04,04,03,01,01,21.0
45240,20180427180078027              ,06,06,02,01,01,8.0,06,06,03,01,01,8.0
45241,20180427180078648              ,06,06,02,05,02,21.0,06,06,02,05,02,21.0
45242,20180427180078658              ,08,10,02,05,02,16.0,08,10,03,05,02,16.0
45243,20180427180078661              ,11,11,02,01,01,1.0,11,11,02,01,01,1.0
45244,20180427180080291              ,04,04,02,01,01,4.0,04,04,02,01,01,4.0
45245,20180427180081009              ,10,10,02,01,01,2.0,10,10,03,01,01,2.0
45246,20180427180081049              ,04,04,02,31,02,7.0,04,04,02,31,02,7.0
45247,20180427180081327              ,11,11,02,01,01,16.0,11,11,04,01,01,16.0
45248,20180427180081985              ,12,12,02,01,01,25.0,12,12,04,01,01,25.0
45249,20180427180082680              ,06,06,02,01,01,10.0,06,06,02,01,01,10.0
45250,20180427180083076              ,09,09,02,01,01,2.0,09,09,03,01,01,2.0
45251,20180427180084466              ,09,09,02,05,01,15.0,09,09,04,05,01,15.0
45252,20180427180084557              ,03,03,02,01,01,5.0,03,03,03,01,01,5.0
45253,20180427180084558              ,06,06,02,01,01,18.0,06,06,02,01,01,18.0
45254,20180427180085170              ,12,12,02,01,01,8.0,12,12,03,01,01,8.0
45255,20180427180085192              ,03,03,02,05,01,19.0,03,03,03,05,01,19.0
45256,20180427180085914              ,11,11,02,01,01,19.0,11,11,03,01,01,19.0
45257,20180427180086092              ,07,07,02,01,01,3.0,07,07,03,01,01,3.0
45258,20180427180086222              ,06,06,02,01,01,12.0,06,06,04,01,01,12.0
45259,20180427180086720              ,07,06,02,01,01,11.0,07,06,03,01,01,11.0
